review	label
I purchased this unit due to frequent blackouts in my area and 2 power supplies going bad.  It will run my cable modem, router, PC, and LCD monitor for 5 minutes.  This is more than enough time to save work and shut down.   Equally important, I know that my electronics are receiving clean power.	1
I ordered 3 APC Back-UPS ES 500s on the recommendation of an employee of mine who used to work at APC. I've had them for about a month now without any problems. They've functioned properly through a few unexpected power interruptions. I'll gladly order more if the need arises.	1
Wish the unit had a separate online/offline light.  When power to the unit is missing, the single red light turns off only when the warning sounds.  The warning sound is like a lot of sounds you hear in the house so it isn't always easy to tell what is happening	1
Cheaper than thick CD cases and less prone to breakage, these "slim" cases by Memorex protect your CDs. Most buyers will get them  for use in CD or DVD burning, and these are an affordable choice from a quality company for that purpose.	1
Hi	1
This product was perfect. it's a sturdy case that holds my large collection of cd's and dvd's.	1
Great value for your money. Kingston has always been a reliable memory chip company and the same goes for this product.	1
I like it very much, I use it in an outdoor trail camera for wild game and it hold several pictures and has been in the camera in all kinds of weather. I would buy Kingston again	1
I had no problems with this card and the delivery was prompt...	1
After going through the reviews, I bought this CF card for my Canon Digital Rebel. So far it has worked fine, though I don't pretend to be an expert digital photographer. When the card is empty, it shows 127 shots available. It seems to read reasonably fast, though it takes a bit longer than I was used to with my point-and-shoot Olympus and its SmartMedia card.	1
I am very happy with this product. It folds super slim, so traveling with it is a breeze! Pretty good sound - not Bose quality, but for the price, very respectable! I've had it almost a year, and it has been along on many weekend get-aways, and works great. I use it alot, so it was a good purchase for me	1
I bought this reader because I wanted to avoid having my camera and all its cable attached to my pc to download the pictures; and with this reader I could leave my camera (and its cables) in its case and just download the picture with the memory card, I recomend this product....	1
It's a simple device, so there's not to say about it other than it does the job. You should note that the LEDs on the device remain lit as long as the device is plugged into your PC and the PC is powered (they glow a bright blue).	1
I was thinking about buying a 1G card, but after reading one of the reviews,I bought two 512 card,just in case that something	1
I have always been very pleased with the SanDisk products. I would highly recommend them	1
These earphones are great quality. The sound is good and they fit comfortably in the ear once you get used to them. Two minuses make them only 4 out of 5 stars: first, the customer support is weak. There is supposed to be a website for the product for customer support and replacement parts, but Altec Lansing his it linked to a seemingly unrelated product; second, the volume control is a little heavy unless you have somewhere to clip it to (this might be a problem for runners)	1
This CF card is so fast that I can run my shutter on my camera non stop until the card is full at a frame rate of 3.5 fps. No lag or slow down. That is amazing. It makes my camera perform better. (Canon Rebel XT	1
fast and reliable..well worth the mone	1
Perhaps the ultimate addition to a good camera. I used my camera with a SanDisk Pro Duo (the blue one...) and while most times it was fine, when I needed to take pictures in quick succession - it let me down. The Ultra II is noticably faster. You will not regret buying this	1
The Sandisk 512 MB Secure Digitial Ultra II (SDSDH-512-901) sent to me was not the item I ordered.  I returned the item, unopened	1
definitely recommend this memory card, download time is great . .	1
I am happy to have several Sandisk products, and all of them are excellent.	1
The SanDisk SDSDH-1024-901 is absoultely worth the extra money if you love to take many pictures without worrying about how many pictures are left for you to take. It is great to use with mini-videos if your camera has this feature	1
The cheapest option I found at the time but an excelent pen drive. Small and with a good style	1
It works great!  I really like it.  There is one small problem though.  The lid is REALLY hard to take off!  I've had it now for about a month and have gotten lots of use out of it and it has loosened up a little, but not much.  There has got to be a way to make a lid that stays on, but isn't quite so hard to remove when a person wants to use it.  I appreciate being provided with a forum to voice my opinion	1
Works well with or without software installed.  Good for home use and school or traveling.	1
This technically works well.  I am finding learning to use it difficult.  I really wish I had spent a little more and gotten a bigger one!!!!!  It is a lot smaller than I thought it would be and would be alot easier if it was bigger	1
I was considering purchasing a tablet and Wacom was consistantly recommended.  I was originally hesitant to buy the graphire line because I didnt think it would be very good for drawing compared to the top line (the intuos line).  I was pleasantly surprised to be proven wrong.  Installing a driver was a piece of cake and I began drawing away in minutes.  It is very responsive and works with all my drawing programs (paintshop pro, painter, photoshop).  The mouse is pretty useless however, and I would have preferred if they had included some extra pen tips instead (they seem to wear out, though I do press pretty hard).  Other than that, its an amazing product	1
